"instal_ponto","lat_y","lon_x","total_days","calu","feca","dima","nana","igig","arca","tili","veic","hosa"
"LO_01_0000",-0.00953,-51.08345,71.77,1,1,1,0,1,0,1,0,0
"LO_01_0200",-0.01,-51.08458,71.7,0,1,1,0,0,1,1,0,0
"LO_01_0400",-0.0101017,-51.0868917,66.9,1,1,0,0,1,0,1,1,1
"LO_01_0600",-0.0099117,-51.08813,75.94,1,1,0,0,0,0,0,0,1
"LO_03_0000",-0.008163,-51.082852,69.16,1,1,1,0,1,0,0,1,1
"LO_03_0200",-0.008102,-51.084543,87.9,1,1,0,0,0,0,0,1,1
"LO_03_0400",-0.0078793,-51.086296,45.65,1,0,1,0,1,0,0,1,1
"LO_03_0600",-0.0082267,-51.0879733,59.62,1,1,1,1,1,0,0,1,1
"LO_05_0000",-0.0065617,-51.082745,65.16,1,1,0,0,0,0,0,1,1
"LO_05_0200",-0.006327,-51.084657,87.93,1,1,1,0,1,0,0,1,1
"LO_05_0400",-0.006281,-51.086225,61.2,0,1,1,1,1,1,1,0,0
"LO_07_0100",-0.0045889,-51.082739,90.13,1,1,1,0,1,0,1,1,0
"LO_07_0300",-0.004532,-51.084461,114.94,1,0,0,0,0,0,0,1,1
"LO_07_0500",-0.0046606,-51.0863515,35.9,1,0,1,0,1,0,0,1,0
"LO_07_0700",-0.00451,-51.0874967,31.95,0,0,1,0,0,0,0,0,1
"LO_09_0300",-0.0028415,-51.084507,90.14,1,1,1,0,0,0,0,1,1
"extra_01_CA",-0.00539,-51.0843067,48.76,1,1,0,0,0,0,0,1,1
